date,AQI,rate,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017-04-04,163,3,124,149,19,1.1,60,100
2017-04-05,83,5,61,76,5,0.6,29,128
2017-04-06,129,4,98,134,6,0.9,45,125
2017-04-07,102,4,76,123,8,0.8,48,74
2017-04-08,104,4,78,138,7,1.0,63,60
2017-04-09,87,5,64,104,7,0.9,47,95
2017-04-10,89,5,66,120,9,0.7,59,91
2017-04-11,59,5,27,68,4,0.4,34,95
2017-04-12,71,5,29,92,5,0.6,52,93
2017-04-13,92,5,54,134,14,1.1,66,76
2017-04-14,93,5,59,136,6,0.9,67,98
2017-04-15,71,5,36,92,5,0.5,52,117
2017-04-16,128,4,97,178,17,1.0,72,107
2017-04-17,162,3,123,219,8,0.9,56,94
2017-04-18,66,5,24,82,2,0.3,22,97
2017-04-19,89,5,44,119,7,0.8,71,35
2017-04-20,70,5,37,90,3,0.7,44,89
2017-04-21,57,5,19,63,2,0.3,23,102
2017-04-22,87,5,45,124,8,0.5,44,120
2017-04-23,63,5,24,76,4,0.4,24,113
2017-04-24,67,5,34,84,5,0.5,31,111
2017-04-25,41,6,13,41,3,0.3,26,76
2017-04-26,52,5,14,41,3,0.3,30,102
2017-04-27,55,5,15,50,2,0.3,35,105
2017-04-28,63,5,23,68,3,0.4,39,115
2017-04-29,79,5,40,107,3,0.4,43,124
2017-04-30,108,4,50,165,5,0.5,44,136
2017-05-01,81,5,39,111,8,0.7,46,121
2017-05-02,129,4,61,134,10,1.0,53,191
2017-05-03,93,5,69,118,9,0.8,47,118
2017-05-04,500,2,359,820,2,0.3,23,100
2017-05-05,411,2,172,511,4,0.3,24,89
2017-05-06,74,5,33,97,3,0.4,37,112
2017-05-07,82,5,28,78,5,0.4,41,138
2017-05-08,102,4,56,114,8,0.6,55,162
2017-05-09,100,5,44,97,7,0.5,26,160
2017-05-10,79,5,39,75,4,0.5,32,134
2017-05-11,92,5,30,134,3,0.3,32,98
2017-05-12,109,4,45,168,5,0.4,26,142
2017-05-13,63,5,19,76,2,0.3,18,90
2017-05-14,68,5,12,38,2,0.3,16,121
2017-05-15,80,5,22,65,7,0.6,26,136
2017-05-16,127,4,43,91,10,0.6,31,189
2017-05-17,184,3,63,121,9,0.7,37,249
2017-05-18,201,1,81,147,11,0.8,51,270
2017-05-19,185,3,82,153,9,0.8,40,250
2017-05-20,169,3,57,128,9,0.7,38,234
2017-05-21,113,4,56,93,15,0.9,27,174
2017-05-22,54,5,37,58,7,1.1,37,52
2017-05-23,70,5,19,40,3,0.4,36,123
2017-05-24,82,5,17,55,4,0.4,46,138
2017-05-25,100,5,21,84,6,0.6,39,160
2017-05-26,149,4,46,98,9,0.6,51,213
2017-05-27,191,3,69,121,21,1.3,47,256
2017-05-28,187,3,88,140,17,1.4,36,252
2017-05-29,70,5,28,89,8,0.7,26,108
2017-05-30,99,5,42,72,3,0.7,39,158
2017-05-31,140,4,65,106,4,0.8,45,203
2017-06-01,120,4,23,58,5,0.6,30,181
2017-06-02,56,5,22,62,11,1.0,38,69
2017-06-03,81,5,29,58,5,0.7,38,137
2017-06-04,138,4,48,93,11,0.6,51,201
2017-06-05,146,4,65,117,16,0.9,61,210
2017-06-06,53,5,37,50,2,0.5,25,94
2017-06-07,93,5,47,57,3,0.6,32,151
2017-06-08,72,5,25,56,3,0.6,57,116
2017-06-09,145,4,29,91,5,0.6,51,209
2017-06-10,80,5,21,70,11,0.8,34,136
2017-06-11,120,4,33,86,7,0.7,49,181
2017-06-12,87,5,35,80,17,1.1,45,144
2017-06-13,90,5,41,68,5,0.8,44,147
2017-06-14,120,4,37,65,3,0.7,48,182
2017-06-15,156,3,38,94,3,0.7,56,221
2017-06-16,158,3,59,129,7,0.6,41,223
2017-06-17,199,3,82,159,11,0.9,36,264
2017-06-18,187,3,70,130,11,0.8,31,252
2017-06-19,151,3,37,74,3,0.6,27,216
2017-06-20,155,3,31,64,4,0.6,27,220
2017-06-21,156,3,48,99,8,0.9,28,221
2017-06-22,52,5,33,0,2,0.8,25,102
2017-06-23,51,5,19,0,2,0.7,20,101
2017-06-24,65,5,21,40,3,0.5,23,117
2017-06-25,103,4,26,46,2,0.5,33,163
2017-06-26,131,4,24,49,2,0.5,39,194
2017-06-27,198,3,70,104,7,0.8,40,263
2017-06-28,183,3,97,129,8,1.2,43,248
2017-06-29,138,4,56,89,6,0.8,31,201
2017-06-30,194,3,71,114,3,0.8,39,259
2016-07-01,82,5,14,32,2,0.4,25,138
2016-07-02,119,4,47,71,3,0.7,38,180
2016-07-03,137,4,83,108,8,1.0,43,200
2016-07-04,173,3,131,110,5,1.2,32,216
2016-07-05,161,3,96,104,5,1.0,30,226
2016-07-06,155,3,74,106,5,0.9,35,220
2016-07-07,177,3,110,125,8,1.2,33,242
2016-07-08,146,4,91,104,5,1.2,34,210
2016-07-09,143,4,83,93,4,0.8,32,207
2016-07-10,137,4,91,86,4,0.8,28,200
2016-07-11,129,4,86,98,7,0.7,29,191
2016-07-12,52,5,29,54,4,0.6,29,94
2016-07-13,112,4,20,43,3,0.5,32,173
2016-07-14,80,5,35,0,4,0.8,42,135
2016-07-15,52,5,36,40,2,0.7,30,77
2016-07-16,54,5,38,53,3,0.8,40,82
2016-07-17,154,3,79,97,3,1.1,42,219
2016-07-18,139,4,106,130,4,1.3,52,137
2016-07-19,133,4,101,0,2,1.3,44,53
2016-07-20,48,6,33,7,2,0.7,18,57
2016-07-21,40,6,28,39,2,0.8,27,53
2016-07-22,100,5,75,81,2,1.1,32,154
2016-07-23,158,3,120,174,2,1.2,34,180
2016-07-24,131,4,73,118,3,0.9,34,194
2016-07-25,57,5,40,38,3,0.8,29,108
2016-07-26,93,5,21,48,3,0.6,24,151
2016-07-27,168,3,47,0,2,0.7,35,233
2016-07-28,128,4,50,81,2,0.7,31,190
2016-07-29,158,3,120,139,2,1.3,30,217
2016-07-30,170,3,129,48,2,1.6,32,87
2016-07-31,77,5,56,82,2,1.0,32,102
2017-08-01,89,5,66,82,2,0.9,30,143
2017-08-02,55,5,33,59,4,1.1,25,89
2017-08-03,90,5,22,62,2,0.6,20,148
2017-08-04,107,4,21,45,3,0.6,38,167
2017-08-05,131,4,27,58,3,0.6,34,194
2017-08-06,78,5,17,37,2,0.5,31,133
2017-08-07,88,5,11,37,2,0.4,31,145
2017-08-08,155,3,29,70,3,0.7,39,220
2017-08-09,98,5,24,43,2,0.6,27,157
2017-08-10,123,4,64,91,2,0.8,33,185
2017-08-11,117,4,88,129,2,1.1,38,135
2017-08-12,48,6,32,39,2,0.8,38,83
2017-08-13,57,5,40,51,2,0.9,37,96
2017-08-14,91,5,28,43,2,0.8,27,149
2017-08-15,103,4,55,78,5,0.9,32,163
2017-08-16,80,5,55,67,2,0.9,37,136
2017-08-17,90,5,22,40,2,0.7,28,148
2017-08-18,73,5,53,76,3,1.2,55,119
2017-08-19,70,5,42,54,2,1.0,33,123
2017-08-20,95,5,60,73,3,1.2,38,153
2017-08-21,130,4,72,98,2,1.0,39,193
2017-08-22,97,5,72,0,2,0.9,35,94
2017-08-23,55,5,20,34,2,0.7,28,106
2017-08-24,50,6,14,43,2,0.5,40,79
2017-08-25,49,6,10,38,3,0.4,39,77
2017-08-26,60,5,15,56,3,0.5,48,51
2017-08-27,38,6,17,30,2,0.5,28,75
2017-08-28,35,6,19,29,2,0.5,28,66
2017-08-29,51,5,17,51,4,0.5,37,84
2017-08-30,88,5,52,87,4,0.8,44,145
2017-08-31,110,4,83,103,2,0.9,35,115
2017-09-01,185,3,139,157,3,1.5,41,140
2017-09-02,135,4,103,93,3,1.1,34,137
2017-09-03,97,5,58,82,4,0.8,32,156
2017-09-04,115,4,87,110,4,0.9,36,148
2017-09-05,56,5,39,62,3,0.7,37,83
2017-09-06,65,5,16,50,3,0.5,41,118
2017-09-07,140,4,48,105,3,0.8,49,203
2017-09-08,180,3,117,152,4,1.2,43,245
2017-09-09,133,4,101,118,7,1.8,34,169
2017-09-10,122,4,92,112,4,1.2,43,83
2017-09-11,50,6,18,38,2,0.5,40,87
2017-09-12,66,5,22,61,2,0.5,45,119
2017-09-13,120,4,73,128,6,1.1,59,182
2017-09-14,112,4,84,121,5,1.0,51,157
2017-09-15,80,5,59,100,4,0.9,63,117
2017-09-16,120,4,91,124,4,1.1,63,150
2017-09-17,45,6,11,38,3,0.4,36,86
2017-09-18,75,5,23,74,3,0.6,58,130
2017-09-19,58,5,12,48,3,0.5,46,81
2017-09-20,62,5,14,57,3,0.4,49,89
2017-09-21,99,5,58,122,8,1.0,79,134
2017-09-22,72,5,24,94,2,0.5,41,81
2017-09-23,121,4,50,192,7,0.9,75,101
2017-09-24,104,4,64,158,4,1.0,62,141
2017-09-25,103,4,77,130,8,1.5,47,131
2017-09-26,65,5,47,68,2,0.7,43,55
2017-09-27,62,5,28,61,4,1.0,49,28
2017-09-28,39,6,10,39,4,0.3,30,64
2017-09-29,92,5,45,102,5,0.8,73,65
2017-09-30,147,4,112,152,5,1.2,69,110
2017-10-01,92,5,68,76,2,0.7,49,93
2017-10-02,45,6,13,45,4,0.5,35,37
2017-10-03,44,6,16,41,2,0.4,35,51
2017-10-04,56,5,30,62,5,0.6,40,69
2017-10-05,75,5,55,79,5,0.7,41,85
2017-10-06,90,5,67,90,6,0.8,50,87
2017-10-07,149,4,114,127,3,1.1,75,14
2017-10-08,163,3,124,122,3,1.2,68,8
2017-10-09,40,6,28,10,3,0.6,30,35
2017-10-10,25,6,6,11,4,0.4,20,40
2017-10-11,37,6,11,23,3,0.4,29,42
2017-10-12,50,6,21,38,3,0.5,40,38
2017-10-13,63,5,38,55,2,0.8,50,49
2017-10-14,54,5,15,34,3,0.6,43,24
2017-10-15,69,5,50,71,3,1.0,42,45
2017-10-16,57,5,40,60,4,0.9,42,56
2017-10-17,93,5,69,80,3,1.2,49,47
2017-10-18,90,5,67,58,3,1.2,46,26
2017-10-19,77,5,56,52,2,1.2,38,54
2017-10-20,129,4,98,96,2,1.4,48,55
2017-10-21,97,5,72,66,3,1.3,38,69
2017-10-22,57,5,39,58,4,1.0,45,25
2017-10-23,52,5,36,47,2,0.6,39,50
2017-10-24,94,5,70,69,3,1.0,47,63
2017-10-25,144,4,110,104,3,1.3,56,34
2017-10-26,202,1,152,132,3,1.6,69,24
2017-10-27,220,1,170,146,3,1.6,68,44
2017-10-28,59,5,42,38,2,0.6,26,55
2017-10-29,35,6,8,25,3,0.4,28,56
2017-10-30,59,5,18,44,4,0.5,47,43
2017-10-31,92,5,62,106,5,1.0,73,9
2017-11-01,99,5,64,100,3,1.0,79,29
2017-11-02,72,5,51,86,6,0.9,57,55
2017-11-03,39,6,8,29,2,0.4,31,61
2017-11-04,69,5,37,64,5,0.8,55,44
2017-11-05,133,4,101,119,7,1.3,71,36
2017-11-06,202,1,152,165,5,1.5,71,53
2017-11-07,107,4,80,71,3,0.9,44,64
2017-11-08,65,5,20,47,6,0.8,52,29
2017-11-09,79,5,52,93,6,1.4,63,20
2017-11-10,37,6,7,37,2,0.3,15,57
2017-11-11,47,6,18,39,4,0.4,37,36
2017-11-12,80,5,56,93,6,1.0,64,14
2017-11-13,60,5,26,69,3,0.6,30,61
2017-11-14,34,6,10,30,3,0.5,27,61
2017-11-15,48,6,16,39,3,0.5,38,58
2017-11-16,92,5,58,88,10,1.3,73,19
2017-11-17,54,5,22,58,4,0.6,31,64
2017-11-18,57,5,40,63,7,0.6,36,59
2017-11-19,120,4,91,120,8,1.3,74,17
2017-11-20,138,4,105,133,10,1.8,85,28
2017-11-21,152,3,116,160,12,1.8,86,47
2017-11-22,33,6,7,33,3,0.3,18,61
2017-11-23,30,6,7,30,3,0.4,21,54
2017-11-24,51,5,21,51,7,0.6,35,50
2017-11-25,74,5,39,79,8,1.0,59,26
2017-11-26,33,6,12,31,3,0.4,26,61
2017-11-27,94,5,70,97,10,1.4,72,13
2017-11-28,63,5,37,75,4,0.8,38,64
2017-11-29,45,6,14,36,4,0.5,36,43
2017-11-30,55,5,26,53,7,0.7,44,58
2017-12-01,98,5,73,106,11,1.3,71,23
2017-12-02,202,1,152,188,17,2.3,108,11
2017-12-03,67,5,48,58,6,0.8,39,63
2017-12-04,30,6,6,22,2,0.4,17,60
2017-12-05,63,5,26,52,7,0.7,50,44
2017-12-06,54,5,24,54,8,0.8,43,58
2017-12-07,27,6,9,26,5,0.4,21,51
2017-12-08,57,5,23,50,6,0.8,45,38
2017-12-09,74,5,34,63,9,1.0,59,25
2017-12-10,46,6,7,46,3,0.3,15,69
2017-12-11,33,6,6,21,3,0.3,17,66
2017-12-12,42,6,14,29,5,0.6,33,35
2017-12-13,65,5,32,50,8,0.9,52,22
2017-12-14,97,5,72,86,19,1.8,70,13
2017-12-15,51,5,33,52,7,0.8,34,57
2017-12-16,36,6,8,36,3,0.3,12,64
2017-12-17,68,5,28,54,7,0.8,54,56
2017-12-18,47,6,12,47,4,0.4,21,63
2017-12-19,65,5,38,72,9,0.8,52,33
2017-12-20,53,5,20,43,5,0.6,42,64
2017-12-21,98,5,51,76,13,1.3,78,20
2017-12-22,72,5,36,62,9,1.1,57,62
2017-12-23,79,5,32,58,11,1.0,63,19
2017-12-24,49,6,13,49,4,0.4,16,73
2017-12-25,62,5,31,51,10,0.7,49,43
2017-12-26,59,5,23,43,7,0.7,47,47
2017-12-27,99,5,74,85,11,1.5,71,15
2017-12-28,143,4,109,123,13,1.9,70,19
2017-12-29,225,1,175,192,6,2.9,86,11
2017-12-30,145,4,111,77,5,2.0,62,52
2017-12-31,64,5,33,67,6,0.9,51,35
