ymd,maxTem,minTem,wea,pm,sun,rain
2017-09-13,29,19,多云,2,0,0
2017-09-14,29,19,阴,3,0,0
2017-09-15,29,17,阴,2,0,0
2017-09-16,28,17,阵雨~多云,3,0,1
2017-09-17,29,15,晴,1,1,0
2017-09-18,30,17,晴,2,1,0
2017-09-19,30,14,晴~多云,1,1,0
2017-09-20,28,13,晴,1,1,0
2017-09-21,30,16,阵雨~多云,2,0,1
2017-09-22,28,14,晴~多云,2,1,0
2017-09-23,29,16,多云~阴,3,0,0
2017-09-24,29,17,多云~阵雨,3,0,1
2017-09-25,29,17,阴,3,0,0
2017-09-26,24,12,小雨~阴,2,0,1
2017-09-27,24,9,多云~晴,2,1,0
2017-09-28,23,10,晴~多云,1,1,0
2017-09-29,26,10,晴,2,1,0
2017-09-30,28,15,多云,3,0,0
2017-10-01,26,12,多云~阴,3,0,0
2017-10-02,18,8,小雨~阴,1,0,1
2017-10-03,20,9,多云~晴,1,1,0
2017-10-04,22,9,晴,2,1,0
2017-10-05,21,10,多云,2,0,0
2017-10-06,22,12,多云~阴,2,0,0
2017-10-07,20,12,小雨~阴,3,0,1
2017-10-08,18,12,阴~小雨,4,0,1
2017-10-09,15,8,中雨~小雨,1,0,1
2017-10-10,11,5,小雨~阴,1,0,1
2017-10-11,16,5,晴~多云,1,1,0
2017-10-12,13,5,小雨~多云,1,0,1
2017-10-13,18,8,晴~多云,2,1,0
2017-10-14,13,8,小雨,1,0,1
2017-10-15,16,7,阴~多云,2,0,0
2017-10-16,18,6,晴~多云,2,1,0
2017-10-17,16,10,阴~小雨,2,0,1
2017-10-18,15,8,小雨~多云,2,0,1
2017-10-19,19,8,晴~多云,2,1,0
2017-10-20,21,11,晴~多云,3,1,0
2017-10-21,18,9,阴~小雨,3,0,1
2017-10-22,13,7,阴~多云,1,0,0
2017-10-23,16,5,多云~晴,2,1,0
2017-10-24,19,8,晴~多云,2,1,0
2017-10-25,15,9,阴~小雨,3,0,1
2017-10-26,17,8,阴~多云,4,0,0
2017-10-27,18,8,多云~雾,5,0,0
2017-10-28,16,4,多云~晴,2,1,0
2017-10-29,13,1,晴,1,1,0
2017-10-30,15,2,晴,1,1,0
2017-10-31,17,3,晴,2,1,0
2017-11-01,17,4,晴~阴,2,1,0
2017-11-02,17,2,阴~晴,2,1,0
2017-11-03,13,-2,晴,1,1,0
2017-11-04,15,2,晴,2,1,0
2017-11-05,15,3,晴~多云,3,1,0
2017-11-06,15,4,多云,4,0,0
2017-11-07,18,4,晴,3,1,0
2017-11-08,14,3,多云~阴,1,0,0
2017-11-09,13,4,阴~多云,2,0,0
2017-11-10,12,-1,晴,1,1,0
2017-11-11,11,-1,晴~多云,1,1,0
2017-11-12,12,-1,多云~晴,2,1,0
2017-11-13,13,-1,晴,2,1,0
2017-11-14,8,-5,晴,1,1,0
2017-11-15,7,-4,晴,1,1,0
2017-11-16,8,-2,晴~阴,2,1,0
2017-11-17,6,-4,多云~晴,2,1,0
2017-11-18,5,-7,晴,2,1,0
2017-11-19,7,-5,多云,3,0,0
2017-11-20,9,-4,晴~多云,3,1,0
2017-11-21,8,-2,多云~晴,4,1,0
2017-11-22,8,-6,多云~晴,1,1,0
2017-11-23,7,-5,多云,1,0,0
2017-11-24,7,-6,多云,1,0,0
2017-11-25,7,-4,阴~多云,2,0,0
2017-11-26,4,-5,晴,1,1,0
2017-11-27,7,-4,多云,2,0,0
2017-11-28,7,-6,晴~多云,2,1,0
2017-11-29,0,-7,多云,1,0,0
2017-11-30,4,-6,晴,1,1,0
2017-12-01,5,-5,晴,2,1,0
2017-12-02,7,-4,晴~多云,4,1,0
2017-12-03,5,-5,多云~晴,2,1,0
2017-12-04,4,-6,多云,1,0,0
2017-12-05,7,-3,晴,1,1,0
2017-12-06,8,-4,多云,1,0,0
2017-12-07,5,-5,多云~晴,1,1,0
2017-12-08,7,-4,晴,1,1,0
2017-12-09,6,-4,多云~晴,2,1,0
2017-12-10,3,-7,晴~多云,1,1,0
2017-12-11,0,-9,多云~晴,1,1,0
2017-12-12,-1,-8,多云,1,0,0
2017-12-13,0,-5,晴~多云,2,1,0
2017-12-14,0,-4,阴~多云,2,0,0
2017-12-15,3,-7,多云~晴,2,1,0
2017-12-16,-1,-8,晴,1,1,0
2017-12-17,5,-5,晴,1,1,0
2017-12-18,6,-6,晴,1,1,0
2017-12-19,4,-4,多云~阴,2,0,0
2017-12-20,6,-6,多云~晴,1,1,0
2017-12-21,8,-6,晴,2,1,0
2017-12-22,10,-6,多云,2,0,0
2017-12-23,7,-3,多云,1,0,0
2017-12-24,6,-6,晴,1,1,0
2017-12-25,5,-4,晴,1,1,0
2017-12-26,3,-7,晴~多云,1,1,0
2017-12-27,4,-5,多云~晴,3,1,0
2017-12-28,5,-4,晴,3,1,0
2017-12-29,4,-3,多云,5,0,0
2017-12-30,6,-6,晴,4,1,0
2017-12-31,4,-7,晴,2,1,0
