loc_id,time_stamp,data_mean_week_hour
4,2017-12-01 06,176.5
5,2017-12-01 06,176.0
6,2017-12-01 06,201.0
7,2017-12-01 06,72.5
8,2017-12-01 06,315.5
9,2017-12-01 06,99.0
10,2017-12-01 06,106.0
11,2017-12-01 06,222.0
12,2017-12-01 06,372.5
13,2017-12-01 06,56.0
14,2017-12-01 06,51.0
15,2017-12-01 06,67.5
16,2017-12-01 06,66.0
17,2017-12-01 06,156.5
18,2017-12-01 06,270.0
19,2017-12-01 06,168.0
20,2017-12-01 06,39.0
21,2017-12-01 06,258.5
22,2017-12-01 06,13.5
23,2017-12-01 06,516.5
24,2017-12-01 06,135.5
25,2017-12-01 06,394.0
26,2017-12-01 06,77.5
27,2017-12-01 06,79.0
28,2017-12-01 06,134.0
29,2017-12-01 06,159.5
30,2017-12-01 06,307.5
31,2017-12-01 06,153.5
32,2017-12-01 06,48.0
33,2017-12-01 06,81.5
1,2017-12-01 07,545.0
2,2017-12-01 07,740.0
3,2017-12-01 07,830.0
4,2017-12-01 07,314.0
5,2017-12-01 07,479.5
6,2017-12-01 07,652.0
7,2017-12-01 07,311.5
8,2017-12-01 07,2483.5
9,2017-12-01 07,265.0
10,2017-12-01 07,1051.0
11,2017-12-01 07,692.0
12,2017-12-01 07,2727.5
13,2017-12-01 07,212.0
14,2017-12-01 07,264.5
15,2017-12-01 07,410.5
16,2017-12-01 07,397.5
17,2017-12-01 07,570.0
18,2017-12-01 07,420.5
19,2017-12-01 07,800.5
20,2017-12-01 07,237.0
21,2017-12-01 07,291.5
22,2017-12-01 07,316.5
23,2017-12-01 07,512.5
24,2017-12-01 07,553.0
25,2017-12-01 07,534.0
26,2017-12-01 07,280.5
27,2017-12-01 07,380.0
28,2017-12-01 07,465.5
29,2017-12-01 07,1507.5
30,2017-12-01 07,577.0
31,2017-12-01 07,964.0
32,2017-12-01 07,284.0
33,2017-12-01 07,359.0
1,2017-12-01 08,697.3333333333335
2,2017-12-01 08,434.66666666666674
3,2017-12-01 08,1005.5
4,2017-12-01 08,541.6666666666666
5,2017-12-01 08,534.0
6,2017-12-01 08,622.6666666666666
7,2017-12-01 08,310.6666666666667
8,2017-12-01 08,3254.666666666666
9,2017-12-01 08,231.66666666666663
10,2017-12-01 08,1593.666666666667
11,2017-12-01 08,340.0
12,2017-12-01 08,3748.333333333334
13,2017-12-01 08,440.0
14,2017-12-01 08,391.0
15,2017-12-01 08,393.33333333333326
16,2017-12-01 08,416.33333333333326
17,2017-12-01 08,842.6666666666665
18,2017-12-01 08,501.33333333333326
19,2017-12-01 08,400.66666666666674
20,2017-12-01 08,1077.3333333333333
21,2017-12-01 08,638.0
22,2017-12-01 08,205.0
23,2017-12-01 08,237.33333333333331
24,2017-12-01 08,609.3333333333334
25,2017-12-01 08,891.0
26,2017-12-01 08,493.33333333333326
27,2017-12-01 08,949.0
28,2017-12-01 08,747.0
29,2017-12-01 08,2013.666666666667
30,2017-12-01 08,626.0
31,2017-12-01 08,1136.0
32,2017-12-01 08,447.0
33,2017-12-01 08,840.0
1,2017-12-01 09,720.6666666666665
2,2017-12-01 09,529.0
3,2017-12-01 09,1216.0
4,2017-12-01 09,531.6666666666666
5,2017-12-01 09,529.6666666666666
6,2017-12-01 09,676.3333333333334
7,2017-12-01 09,280.0
8,2017-12-01 09,2941.0
9,2017-12-01 09,212.0
10,2017-12-01 09,991.3333333333335
11,2017-12-01 09,663.3333333333334
12,2017-12-01 09,3306.333333333333
13,2017-12-01 09,388.66666666666674
14,2017-12-01 09,530.3333333333334
15,2017-12-01 09,894.6666666666665
16,2017-12-01 09,846.3333333333335
17,2017-12-01 09,869.6666666666665
18,2017-12-01 09,437.66666666666674
19,2017-12-01 09,473.0
20,2017-12-01 09,1756.0
21,2017-12-01 09,731.6666666666665
22,2017-12-01 09,608.3333333333334
23,2017-12-01 09,496.33333333333326
24,2017-12-01 09,1146.0
25,2017-12-01 09,924.3333333333335
26,2017-12-01 09,487.66666666666674
27,2017-12-01 09,1494.333333333333
28,2017-12-01 09,751.6666666666665
29,2017-12-01 09,1467.333333333333
30,2017-12-01 09,672.0
31,2017-12-01 09,1321.6666666666667
32,2017-12-01 09,420.33333333333326
33,2017-12-01 09,1282.0
1,2017-12-01 10,697.0
2,2017-12-01 10,534.3333333333334
3,2017-12-01 10,959.5
4,2017-12-01 10,419.0
5,2017-12-01 10,524.3333333333334
6,2017-12-01 10,550.6666666666666
7,2017-12-01 10,198.33333333333331
8,2017-12-01 10,2164.6666666666665
9,2017-12-01 10,149.33333333333334
10,2017-12-01 10,764.6666666666665
11,2017-12-01 10,434.0
12,2017-12-01 10,2155.6666666666665
13,2017-12-01 10,259.0
14,2017-12-01 10,514.3333333333334
15,2017-12-01 10,709.0
16,2017-12-01 10,623.3333333333334
17,2017-12-01 10,555.6666666666666
18,2017-12-01 10,375.66666666666674
19,2017-12-01 10,480.0
20,2017-12-01 10,1905.666666666667
21,2017-12-01 10,523.3333333333334
22,2017-12-01 10,265.6666666666667
23,2017-12-01 10,357.0
24,2017-12-01 10,1009.6666666666665
25,2017-12-01 10,840.0
26,2017-12-01 10,354.66666666666674
27,2017-12-01 10,682.6666666666666
28,2017-12-01 10,499.66666666666674
29,2017-12-01 10,1041.0
30,2017-12-01 10,498.33333333333326
31,2017-12-01 10,929.6666666666665
32,2017-12-01 10,342.3333333333333
33,2017-12-01 10,602.3333333333334
1,2017-12-01 11,840.6666666666665
2,2017-12-01 11,808.0
3,2017-12-01 11,1679.5
4,2017-12-01 11,731.0
5,2017-12-01 11,697.6666666666665
6,2017-12-01 11,955.3333333333335
7,2017-12-01 11,344.66666666666674
8,2017-12-01 11,6280.0
9,2017-12-01 11,239.33333333333331
10,2017-12-01 11,3940.333333333334
11,2017-12-01 11,610.3333333333334
12,2017-12-01 11,6923.666666666668
13,2017-12-01 11,350.66666666666674
14,2017-12-01 11,620.0
15,2017-12-01 11,769.0
16,2017-12-01 11,895.6666666666665
17,2017-12-01 11,1156.0
18,2017-12-01 11,544.0
19,2017-12-01 11,737.3333333333335
20,2017-12-01 11,2400.333333333333
21,2017-12-01 11,886.3333333333335
22,2017-12-01 11,302.0
23,2017-12-01 11,380.66666666666674
24,2017-12-01 11,1276.3333333333333
25,2017-12-01 11,1242.6666666666667
26,2017-12-01 11,530.6666666666666
27,2017-12-01 11,758.6666666666665
28,2017-12-01 11,945.0
29,2017-12-01 11,3982.0
30,2017-12-01 11,751.0
31,2017-12-01 11,1681.333333333333
32,2017-12-01 11,597.0
33,2017-12-01 11,695.0
1,2017-12-01 12,1087.0
2,2017-12-01 12,994.6666666666665
3,2017-12-01 12,2384.5
4,2017-12-01 12,1105.6666666666667
5,2017-12-01 12,969.6666666666665
6,2017-12-01 12,1430.666666666667
7,2017-12-01 12,549.3333333333334
8,2017-12-01 12,7671.333333333332
9,2017-12-01 12,451.0
10,2017-12-01 12,5103.666666666667
11,2017-12-01 12,1163.6666666666667
12,2017-12-01 12,8539.666666666666
13,2017-12-01 12,824.6666666666665
14,2017-12-01 12,605.6666666666666
15,2017-12-01 12,1043.3333333333333
16,2017-12-01 12,848.0
17,2017-12-01 12,1577.666666666667
18,2017-12-01 12,624.0
19,2017-12-01 12,972.0
20,2017-12-01 12,2005.666666666667
21,2017-12-01 12,1268.0
22,2017-12-01 12,503.0
23,2017-12-01 12,700.6666666666665
24,2017-12-01 12,1243.0
25,2017-12-01 12,1711.333333333333
26,2017-12-01 12,1010.3333333333335
27,2017-12-01 12,564.0
28,2017-12-01 12,1321.3333333333333
29,2017-12-01 12,4746.333333333333
30,2017-12-01 12,919.3333333333335
31,2017-12-01 12,2483.333333333333
32,2017-12-01 12,928.3333333333335
33,2017-12-01 12,599.6666666666666
1,2017-12-01 13,975.6666666666665
2,2017-12-01 13,923.0
3,2017-12-01 13,1737.5
4,2017-12-01 13,770.3333333333335
5,2017-12-01 13,869.3333333333335
6,2017-12-01 13,945.3333333333335
7,2017-12-01 13,410.66666666666674
8,2017-12-01 13,3711.333333333334
9,2017-12-01 13,302.6666666666667
10,2017-12-01 13,1350.6666666666667
11,2017-12-01 13,882.3333333333335
12,2017-12-01 13,3964.666666666666
13,2017-12-01 13,495.66666666666674
14,2017-12-01 13,707.0
15,2017-12-01 13,1141.3333333333333
16,2017-12-01 13,678.3333333333334
17,2017-12-01 13,916.6666666666665
18,2017-12-01 13,489.33333333333326
19,2017-12-01 13,910.6666666666665
20,2017-12-01 13,1620.0
21,2017-12-01 13,888.6666666666665
22,2017-12-01 13,474.33333333333326
23,2017-12-01 13,547.6666666666666
24,2017-12-01 13,1306.6666666666667
25,2017-12-01 13,1173.0
26,2017-12-01 13,614.6666666666666
27,2017-12-01 13,688.0
28,2017-12-01 13,798.6666666666665
29,2017-12-01 13,2032.0
30,2017-12-01 13,682.6666666666666
31,2017-12-01 13,1782.333333333333
32,2017-12-01 13,582.3333333333334
33,2017-12-01 13,623.6666666666666
1,2017-12-01 14,620.6666666666666
2,2017-12-01 14,429.66666666666674
3,2017-12-01 14,1106.0
4,2017-12-01 14,593.6666666666666
5,2017-12-01 14,472.0
6,2017-12-01 14,744.6666666666665
7,2017-12-01 14,223.33333333333331
8,2017-12-01 14,2252.6666666666665
9,2017-12-01 14,226.33333333333331
10,2017-12-01 14,603.3333333333334
11,2017-12-01 14,419.33333333333326
12,2017-12-01 14,2112.0
13,2017-12-01 14,320.3333333333333
14,2017-12-01 14,530.3333333333334
15,2017-12-01 14,700.3333333333335
16,2017-12-01 14,573.0
17,2017-12-01 14,713.0
18,2017-12-01 14,521.0
19,2017-12-01 14,359.66666666666674
20,2017-12-01 14,2102.333333333333
21,2017-12-01 14,659.3333333333334
22,2017-12-01 14,227.0
23,2017-12-01 14,295.6666666666667
24,2017-12-01 14,877.6666666666665
25,2017-12-01 14,865.6666666666665
26,2017-12-01 14,419.66666666666674
27,2017-12-01 14,559.6666666666666
28,2017-12-01 14,644.3333333333334
29,2017-12-01 14,928.0
30,2017-12-01 14,586.3333333333334
31,2017-12-01 14,1132.0
32,2017-12-01 14,445.33333333333326
33,2017-12-01 14,467.66666666666674
1,2017-12-01 15,890.0
2,2017-12-01 15,629.6666666666666
3,2017-12-01 15,1246.0
4,2017-12-01 15,527.3333333333334
5,2017-12-01 15,754.3333333333335
6,2017-12-01 15,702.0
7,2017-12-01 15,294.6666666666667
8,2017-12-01 15,2540.0
9,2017-12-01 15,258.0
10,2017-12-01 15,792.0
11,2017-12-01 15,574.6666666666666
12,2017-12-01 15,2408.0
13,2017-12-01 15,420.33333333333326
14,2017-12-01 15,617.0
15,2017-12-01 15,783.3333333333335
16,2017-12-01 15,803.6666666666665
17,2017-12-01 15,705.0
18,2017-12-01 15,397.66666666666674
19,2017-12-01 15,597.6666666666666
20,2017-12-01 15,1914.333333333333
21,2017-12-01 15,659.3333333333334
22,2017-12-01 15,516.6666666666666
23,2017-12-01 15,363.33333333333326
24,2017-12-01 15,1130.0
25,2017-12-01 15,905.3333333333335
26,2017-12-01 15,536.3333333333334
27,2017-12-01 15,788.3333333333335
28,2017-12-01 15,591.3333333333334
29,2017-12-01 15,1162.0
30,2017-12-01 15,516.6666666666666
31,2017-12-01 15,1267.0
32,2017-12-01 15,423.33333333333326
33,2017-12-01 15,692.0
1,2017-12-01 16,721.0
2,2017-12-01 16,512.0
3,2017-12-01 16,1106.0
4,2017-12-01 16,452.66666666666674
5,2017-12-01 16,623.3333333333334
6,2017-12-01 16,642.0
7,2017-12-01 16,269.0
8,2017-12-01 16,2265.333333333333
9,2017-12-01 16,193.0
10,2017-12-01 16,994.0
11,2017-12-01 16,441.66666666666674
12,2017-12-01 16,2280.0
13,2017-12-01 16,308.3333333333333
14,2017-12-01 16,485.33333333333326
15,2017-12-01 16,486.33333333333326
16,2017-12-01 16,754.3333333333335
17,2017-12-01 16,687.6666666666665
18,2017-12-01 16,441.0
19,2017-12-01 16,424.33333333333326
20,2017-12-01 16,1812.0
21,2017-12-01 16,591.6666666666666
22,2017-12-01 16,211.33333333333331
23,2017-12-01 16,249.0
24,2017-12-01 16,807.6666666666665
25,2017-12-01 16,877.6666666666665
26,2017-12-01 16,507.33333333333326
27,2017-12-01 16,709.3333333333335
28,2017-12-01 16,561.0
29,2017-12-01 16,1215.6666666666667
30,2017-12-01 16,618.0
31,2017-12-01 16,1084.0
32,2017-12-01 16,485.66666666666674
33,2017-12-01 16,590.6666666666666
1,2017-12-01 17,940.6666666666665
2,2017-12-01 17,916.6666666666665
3,2017-12-01 17,2003.0
4,2017-12-01 17,799.3333333333335
5,2017-12-01 17,844.3333333333335
6,2017-12-01 17,997.0
7,2017-12-01 17,385.33333333333326
8,2017-12-01 17,5793.666666666668
9,2017-12-01 17,298.0
10,2017-12-01 17,3215.666666666666
11,2017-12-01 17,840.3333333333335
12,2017-12-01 17,6001.0
13,2017-12-01 17,512.6666666666666
14,2017-12-01 17,658.6666666666666
15,2017-12-01 17,656.6666666666666
16,2017-12-01 17,941.6666666666665
17,2017-12-01 17,1127.3333333333333
18,2017-12-01 17,447.33333333333326
19,2017-12-01 17,849.6666666666665
20,2017-12-01 17,1832.333333333333
21,2017-12-01 17,985.0
22,2017-12-01 17,407.33333333333326
23,2017-12-01 17,543.0
24,2017-12-01 17,1426.333333333333
25,2017-12-01 17,1373.6666666666667
26,2017-12-01 17,832.0
27,2017-12-01 17,939.3333333333335
28,2017-12-01 17,973.0
29,2017-12-01 17,3344.0
30,2017-12-01 17,745.0
31,2017-12-01 17,2061.6666666666665
32,2017-12-01 17,712.3333333333335
33,2017-12-01 17,925.6666666666665
1,2017-12-01 18,937.6666666666665
2,2017-12-01 18,845.6666666666665
3,2017-12-01 18,1788.0
4,2017-12-01 18,886.0
5,2017-12-01 18,757.3333333333335
6,2017-12-01 18,1128.3333333333333
7,2017-12-01 18,443.0
8,2017-12-01 18,5307.666666666667
9,2017-12-01 18,362.66666666666674
10,2017-12-01 18,2355.6666666666665
11,2017-12-01 18,764.0
12,2017-12-01 18,5566.0
13,2017-12-01 18,489.66666666666674
14,2017-12-01 18,533.3333333333334
15,2017-12-01 18,608.6666666666666
16,2017-12-01 18,491.0
17,2017-12-01 18,1324.3333333333333
18,2017-12-01 18,566.6666666666666
19,2017-12-01 18,781.6666666666665
20,2017-12-01 18,1313.6666666666667
21,2017-12-01 18,1066.3333333333333
22,2017-12-01 18,265.6666666666667
23,2017-12-01 18,430.66666666666674
24,2017-12-01 18,1093.6666666666667
25,2017-12-01 18,1521.0
26,2017-12-01 18,633.3333333333334
27,2017-12-01 18,537.3333333333334
28,2017-12-01 18,1173.0
29,2017-12-01 18,2580.6666666666665
30,2017-12-01 18,853.6666666666665
31,2017-12-01 18,1923.333333333333
32,2017-12-01 18,717.3333333333335
33,2017-12-01 18,499.66666666666674
1,2017-12-01 19,790.3333333333335
2,2017-12-01 19,571.3333333333334
3,2017-12-01 19,1288.0
4,2017-12-01 19,589.3333333333334
5,2017-12-01 19,644.6666666666666
6,2017-12-01 19,907.0
7,2017-12-01 19,343.0
8,2017-12-01 19,3101.666666666666
9,2017-12-01 19,317.0
10,2017-12-01 19,1517.666666666667
11,2017-12-01 19,520.0
12,2017-12-01 19,3118.666666666666
13,2017-12-01 19,384.33333333333326
14,2017-12-01 19,290.6666666666667
15,2017-12-01 19,514.3333333333334
16,2017-12-01 19,265.0
17,2017-12-01 19,912.0
18,2017-12-01 19,386.33333333333326
19,2017-12-01 19,505.33333333333326
20,2017-12-01 19,818.6666666666665
21,2017-12-01 19,726.3333333333335
22,2017-12-01 19,181.0
23,2017-12-01 19,300.3333333333333
24,2017-12-01 19,571.6666666666666
25,2017-12-01 19,966.0
26,2017-12-01 19,528.3333333333334
27,2017-12-01 19,350.0
28,2017-12-01 19,760.0
29,2017-12-01 19,1498.333333333333
30,2017-12-01 19,610.3333333333334
31,2017-12-01 19,1257.3333333333333
32,2017-12-01 19,510.33333333333326
33,2017-12-01 19,303.6666666666667
1,2017-12-01 20,574.6666666666666
2,2017-12-01 20,444.33333333333326
3,2017-12-01 20,1099.0
4,2017-12-01 20,548.0
5,2017-12-01 20,534.0
6,2017-12-01 20,700.0
7,2017-12-01 20,385.0
8,2017-12-01 20,2476.0
9,2017-12-01 20,331.6666666666667
10,2017-12-01 20,1034.0
11,2017-12-01 20,393.33333333333326
12,2017-12-01 20,2527.6666666666665
13,2017-12-01 20,357.33333333333326
14,2017-12-01 20,307.6666666666667
15,2017-12-01 20,432.66666666666674
16,2017-12-01 20,304.3333333333333
17,2017-12-01 20,868.3333333333335
18,2017-12-01 20,341.6666666666667
19,2017-12-01 20,402.66666666666674
20,2017-12-01 20,752.6666666666665
21,2017-12-01 20,646.6666666666666
22,2017-12-01 20,153.66666666666666
23,2017-12-01 20,274.6666666666667
24,2017-12-01 20,577.3333333333334
25,2017-12-01 20,786.6666666666665
26,2017-12-01 20,458.0
27,2017-12-01 20,342.0
28,2017-12-01 20,771.6666666666665
29,2017-12-01 20,1030.3333333333333
30,2017-12-01 20,446.66666666666674
31,2017-12-01 20,1097.3333333333333
32,2017-12-01 20,404.66666666666674
33,2017-12-01 20,327.0
1,2017-12-01 21,670.0
2,2017-12-01 21,546.0
3,2017-12-01 21,1007.5
4,2017-12-01 21,530.3333333333334
5,2017-12-01 21,604.6666666666666
6,2017-12-01 21,635.0
7,2017-12-01 21,258.0
8,2017-12-01 21,2313.0
9,2017-12-01 21,207.0
10,2017-12-01 21,761.6666666666665
11,2017-12-01 21,498.33333333333326
12,2017-12-01 21,2163.0
13,2017-12-01 21,379.0
14,2017-12-01 21,286.3333333333333
15,2017-12-01 21,422.66666666666674
16,2017-12-01 21,283.3333333333333
17,2017-12-01 21,866.3333333333335
18,2017-12-01 21,374.33333333333326
19,2017-12-01 21,485.0
20,2017-12-01 21,647.3333333333334
21,2017-12-01 21,649.0
22,2017-12-01 21,151.66666666666666
23,2017-12-01 21,394.66666666666674
24,2017-12-01 21,612.0
25,2017-12-01 21,813.0
26,2017-12-01 21,448.66666666666674
27,2017-12-01 21,298.6666666666667
28,2017-12-01 21,739.3333333333335
29,2017-12-01 21,837.6666666666665
30,2017-12-01 21,496.33333333333326
31,2017-12-01 21,1117.6666666666667
32,2017-12-01 21,413.0
33,2017-12-01 21,293.3333333333333
1,2017-12-01 22,716.6666666666665
2,2017-12-01 22,713.0
3,2017-12-01 22,1140.5
4,2017-12-01 22,558.0
5,2017-12-01 22,669.6666666666666
6,2017-12-01 22,717.3333333333335
7,2017-12-01 22,200.0
8,2017-12-01 22,2233.6666666666665
9,2017-12-01 22,179.66666666666663
10,2017-12-01 22,352.0
11,2017-12-01 22,478.33333333333326
12,2017-12-01 22,1954.0
13,2017-12-01 22,376.0
14,2017-12-01 22,233.66666666666663
15,2017-12-01 22,353.66666666666674
16,2017-12-01 22,223.66666666666663
17,2017-12-01 22,900.6666666666665
18,2017-12-01 22,375.66666666666674
19,2017-12-01 22,644.3333333333334
20,2017-12-01 22,645.6666666666666
21,2017-12-01 22,706.6666666666665
22,2017-12-01 22,103.66666666666669
23,2017-12-01 22,348.66666666666674
24,2017-12-01 22,529.6666666666666
25,2017-12-01 22,837.0
26,2017-12-01 22,413.66666666666674
27,2017-12-01 22,284.6666666666667
28,2017-12-01 22,738.6666666666665
29,2017-12-01 22,505.66666666666674
30,2017-12-01 22,455.66666666666674
31,2017-12-01 22,1331.3333333333333
32,2017-12-01 22,487.33333333333326
33,2017-12-01 22,302.6666666666667
1,2017-12-01 23,453.0
2,2017-12-01 23,410.0
3,2017-12-01 23,515.0
4,2017-12-01 23,433.33333333333326
5,2017-12-01 23,438.0
6,2017-12-01 23,386.0
7,2017-12-01 23,127.66666666666669
8,2017-12-01 23,640.3333333333334
9,2017-12-01 23,124.33333333333331
10,2017-12-01 23,239.33333333333331
11,2017-12-01 23,349.33333333333326
12,2017-12-01 23,585.0
13,2017-12-01 23,204.33333333333331
14,2017-12-01 23,50.0
15,2017-12-01 23,108.66666666666669
16,2017-12-01 23,59.66666666666666
17,2017-12-01 23,595.6666666666666
18,2017-12-01 23,321.0
19,2017-12-01 23,355.66666666666674
20,2017-12-01 23,234.66666666666663
21,2017-12-01 23,513.0
22,2017-12-01 23,21.66666666666667
23,2017-12-01 23,291.3333333333333
24,2017-12-01 23,121.66666666666669
25,2017-12-01 23,282.0
26,2017-12-01 23,186.0
27,2017-12-01 23,48.66666666666666
28,2017-12-01 23,486.33333333333326
29,2017-12-01 23,341.3333333333333
30,2017-12-01 23,424.33333333333326
31,2017-12-01 23,468.66666666666674
32,2017-12-01 23,243.0
33,2017-12-01 23,53.33333333333334
1,2017-12-02 00,353.33333333333326
2,2017-12-02 00,561.6666666666666
3,2017-12-02 00,77.5
4,2017-12-02 00,126.0
5,2017-12-02 00,322.0
6,2017-12-02 00,312.0
7,2017-12-02 00,153.66666666666666
8,2017-12-02 00,67.33333333333333
9,2017-12-02 00,317.0
10,2017-12-02 00,38.0
11,2017-12-02 00,436.0
12,2017-12-02 00,89.33333333333331
13,2017-12-02 00,82.66666666666667
14,2017-12-02 00,18.666666666666668
15,2017-12-02 00,16.333333333333332
16,2017-12-02 00,12.333333333333336
17,2017-12-02 00,230.0
18,2017-12-02 00,437.33333333333326
19,2017-12-02 00,308.3333333333333
20,2017-12-02 00,32.333333333333336
21,2017-12-02 00,135.33333333333334
22,2017-12-02 00,5.0
23,2017-12-02 00,540.6666666666666
24,2017-12-02 00,16.0
25,2017-12-02 00,149.66666666666666
26,2017-12-02 00,70.33333333333333
27,2017-12-02 00,17.333333333333332
28,2017-12-02 00,147.33333333333334
29,2017-12-02 00,51.66666666666666
30,2017-12-02 00,359.66666666666674
31,2017-12-02 00,91.66666666666669
32,2017-12-02 00,60.0
